Site_ID,Year,Season,Start_Date,End_Date
W9,2022,Snow,2022-12-19,2023-04-30
W6,2023,Warming to Peak,2023-04-04,2023-05-30
HBK,2023,Leaf,2023-04-30,2023-10-24
W1,2023,Leaf,2023-04-30,2023-10-24
W2,2023,Leaf,2023-04-30,2023-10-24
W3,2023,Leaf,2023-04-30,2023-10-24
W4,2023,Leaf,2023-04-30,2023-10-24
W5,2023,Leaf,2023-04-30,2023-10-24
W6,2023,Leaf,2023-04-30,2023-10-24
W9,2023,Leaf,2023-04-30,2023-10-24
HBK,2023,Cooling,2023-10-24,NA
HBK,2017,Warming,NA,NA
HBK,2021,Warming,NA,NA
HBK,2022,Warming,NA,NA
HBK,2023,Warming,NA,NA
HBK,2023,Snow,NA,NA
HBK,2017,Warming to Peak,NA,NA
HBK,2021,Warming to Peak,NA,NA
HBK,2022,Warming to Peak,NA,NA
HBK,2023,Warming to Peak,NA,NA
W1,2023,Cooling,2023-10-24,NA
W1,2017,Warming,NA,NA
W1,2022,Warming,NA,NA
W1,2023,Warming,NA,NA
W1,2023,Snow,NA,NA
W1,2017,Warming to Peak,NA,NA
W1,2022,Warming to Peak,NA,NA
W1,2023,Warming to Peak,NA,NA
W2,2023,Cooling,2023-10-24,NA
W2,2017,Warming,NA,NA
W2,2021,Warming,NA,NA
W2,2022,Warming,NA,NA
W2,2023,Warming,NA,NA
W2,2023,Snow,NA,NA
W2,2017,Warming to Peak,NA,NA
W2,2021,Warming to Peak,NA,NA
W2,2022,Warming to Peak,NA,NA
W2,2023,Warming to Peak,NA,NA
W3,2023,Cooling,2023-10-24,NA
W3,2017,Warming,NA,NA
W3,2021,Warming,NA,NA
W3,2022,Warming,NA,NA
W3,2023,Warming,NA,NA
W3,2023,Snow,NA,NA
W3,2017,Warming to Peak,NA,NA
W3,2021,Warming to Peak,NA,NA
W3,2022,Warming to Peak,NA,NA
W3,2023,Warming to Peak,NA,NA
W4,2023,Cooling,2023-10-24,NA
W4,2017,Warming,NA,NA
W4,2021,Warming,NA,NA
W4,2022,Warming,NA,NA
W4,2023,Warming,NA,NA
W4,2023,Snow,NA,NA
W4,2017,Warming to Peak,NA,NA
W4,2021,Warming to Peak,NA,NA
W4,2022,Warming to Peak,NA,NA
W4,2023,Warming to Peak,NA,NA
W5,2023,Cooling,2023-10-24,NA
W5,2017,Warming,NA,NA
W5,2022,Warming,NA,NA
W5,2023,Warming,NA,NA
W5,2023,Snow,NA,NA
W5,2017,Warming to Peak,NA,NA
W5,2022,Warming to Peak,NA,NA
W5,2023,Warming to Peak,NA,NA
W6,2023,Cooling,2023-10-24,NA
W6,2023,Snow,NA,NA
W6,2017,Warming,NA,NA
W6,2017,Warming to Peak,NA,NA
W9,2023,Cooling,2023-10-24,NA
W9,2017,Warming,NA,NA
W9,2021,Warming,NA,NA
W9,2022,Warming,NA,NA
W9,2023,Warming,NA,NA
W9,2023,Snow,NA,NA
W9,2017,Warming to Peak,NA,NA
W9,2021,Warming to Peak,NA,NA
W9,2022,Warming to Peak,NA,NA
W9,2023,Warming to Peak,NA,NA
